# wavelength, Lum, Lum_error
3668.7277, 2.380106905e+25, 1.118364508e+24
3668.7889, 2.382284856e+25, 1.119205445e+24
3668.8501, 2.384462842e+25, 1.120047483e+24
3668.9113, 2.386640865e+25, 1.120890620e+24
3668.9724, 2.388818925e+25, 1.121734852e+24
3669.0336, 2.390997020e+25, 1.122580178e+24
3669.0948, 2.393175152e+25, 1.123426596e+24
3669.1560, 2.395353321e+25, 1.124274103e+24
3669.2172, 2.397531525e+25, 1.125122696e+24
3669.2784, 2.399709766e+25, 1.125972374e+24
3669.3396, 2.401888044e+25, 1.126823133e+24
3669.4008, 2.404066357e+25, 1.127674972e+24
3669.4620, 2.408472215e+25, 1.128173024e+24
3669.5232, 2.417393680e+25, 1.127954478e+24
3669.5844, 2.426315293e+25, 1.127739548e+24
3669.6456, 2.435237056e+25, 1.127528237e+24
3669.7068, 2.444158967e+25, 1.127320548e+24
3669.7680, 2.453081027e+25, 1.127116482e+24
3669.8292, 2.462003235e+25, 1.126916042e+24
3669.8904, 2.470925593e+25, 1.126719230e+24
3669.9516, 2.479848099e+25, 1.126526047e+24
3670.0129, 2.488770754e+25, 1.126336497e+24
3670.0741, 2.497693558e+25, 1.126150580e+24
3670.1353, 2.506616511e+25, 1.125968299e+24
3670.1965, 2.515539613e+25, 1.125789656e+24
3670.2577, 2.524462863e+25, 1.125614653e+24
3670.3189, 2.528023466e+25, 1.125601670e+24
3670.3801, 2.526725730e+25, 1.125734751e+24
3670.4413, 2.525427972e+25, 1.125870087e+24
3670.5026, 2.524130193e+25, 1.126007676e+24
3670.5638, 2.522832392e+25, 1.126147518e+24
3670.6250, 2.521534569e+25, 1.126289611e+24
3670.6862, 2.520236725e+25, 1.126433956e+24
3670.7474, 2.518938859e+25, 1.126580552e+24
3670.8087, 2.517640971e+25, 1.126729397e+24
3670.8699, 2.516343062e+25, 1.126880490e+24
3670.9311, 2.515045131e+25, 1.127033832e+24
3670.9923, 2.513747179e+25, 1.127189422e+24
3671.0536, 2.512449205e+25, 1.127347257e+24
3671.1148, 2.511151209e+25, 1.127507339e+24
3671.1760, 2.510907459e+25, 1.128373415e+24
3671.2372, 2.511075899e+25, 1.129518668e+24
3671.2985, 2.511244343e+25, 1.130668229e+24
3671.3597, 2.511412790e+25, 1.131822088e+24
