# wavelength, Lum, Lum_error
3661.2093, 4.337013844e+25, 1.928449006e+24
3661.2704, 4.349285164e+25, 1.928886173e+24
3661.3314, 4.361556688e+25, 1.929323399e+24
3661.3925, 4.373828417e+25, 1.929760686e+24
3661.4536, 4.386100350e+25, 1.930198032e+24
3661.5146, 4.398372488e+25, 1.930635439e+24
3661.5757, 4.410644831e+25, 1.931072906e+24
3661.6368, 4.422917379e+25, 1.931510432e+24
3661.6978, 4.435190131e+25, 1.931948018e+24
3661.7589, 4.447463088e+25, 1.932385664e+24
3661.8200, 4.459736250e+25, 1.932823370e+24
3661.8811, 4.468196154e+25, 1.932595021e+24
3661.9421, 4.473937381e+25, 1.931892690e+24
3662.0032, 4.479678705e+25, 1.931191511e+24
3662.0643, 4.485420124e+25, 1.930491485e+24
3662.1254, 4.491161639e+25, 1.929792613e+24
3662.1864, 4.496903250e+25, 1.929094898e+24
3662.2475, 4.502644956e+25, 1.928398339e+24
3662.3086, 4.508386758e+25, 1.927702939e+24
3662.3697, 4.514128657e+25, 1.927008699e+24
3662.4308, 4.519870650e+25, 1.926315619e+24
3662.4918, 4.525612740e+25, 1.925623702e+24
3662.5529, 4.531354925e+25, 1.924932949e+24
3662.6140, 4.537097206e+25, 1.924243361e+24
3662.6751, 4.542839583e+25, 1.923554939e+24
3662.7362, 4.502557471e+25, 1.919137093e+24
3662.7973, 4.449213900e+25, 1.913660649e+24
3662.8584, 4.395869438e+25, 1.908184121e+24
3662.9195, 4.342524088e+25, 1.902707510e+24
3662.9805, 4.289177847e+25, 1.897230816e+24
3663.0416, 4.235830717e+25, 1.891754039e+24
3663.1027, 4.182482697e+25, 1.886277178e+24
3663.1638, 4.129133787e+25, 1.880800235e+24
3663.2249, 4.075783987e+25, 1.875323209e+24
3663.2860, 4.022433298e+25, 1.869846099e+24
3663.3471, 3.969081719e+25, 1.864368907e+24
3663.4082, 3.915729250e+25, 1.858891632e+24
3663.4693, 3.862375891e+25, 1.853414275e+24
3663.5304, 3.809021643e+25, 1.847936835e+24
3663.5915, 3.837552603e+25, 1.848603103e+24
3663.6526, 3.868409783e+25, 1.849445586e+24
3663.7137, 3.899267478e+25, 1.850289813e+24
3663.7748, 3.930125687e+25, 1.851135780e+24
3663.8359, 3.960984412e+25, 1.851983485e+24
3663.8970, 3.991843650e+25, 1.852832926e+24
3663.9581, 4.022703404e+25, 1.853684101e+24
3664.0193, 4.053563672e+25, 1.854537007e+24
3664.0804, 4.084424455e+25, 1.855391642e+24
3664.1415, 4.115285753e+25, 1.856248005e+24
3664.2026, 4.146147565e+25, 1.857106091e+24
3664.2637, 4.177009892e+25, 1.857965901e+24
3664.3248, 4.207872734e+25, 1.858827430e+24
3664.3859, 4.233661192e+25, 1.859547531e+24
3664.4470, 4.234200639e+25, 1.859556791e+24
3664.5082, 4.234740094e+25, 1.859567145e+24
3664.5693, 4.235279559e+25, 1.859578592e+24
3664.6304, 4.235819033e+25, 1.859591132e+24
3664.6915, 4.236358515e+25, 1.859604765e+24
3664.7526, 4.236898007e+25, 1.859619491e+24
3664.8138, 4.237437507e+25, 1.859635311e+24
3664.8749, 4.237977017e+25, 1.859652225e+24
3664.9360, 4.238516536e+25, 1.859670231e+24
3664.9971, 4.239056063e+25, 1.859689331e+24
3665.0583, 4.239595600e+25, 1.859709525e+24
3665.1194, 4.240135145e+25, 1.859730812e+24
3665.1805, 4.240674700e+25, 1.859753192e+24
3665.2416, 4.230499343e+25, 1.858098574e+24
3665.3028, 4.201324263e+25, 1.853469409e+24
