# wavelength, Lum[W], Lum_error [W]
3673.7485, 3.329481927e+25, 1.350331188e+24
3673.8098, 3.321629992e+25, 1.347593968e+24
3673.8711, 3.313777926e+25, 1.344857310e+24
3673.9323, 3.305925728e+25, 1.342121218e+24
3673.9936, 3.298073400e+25, 1.339385697e+24
3674.0549, 3.290220941e+25, 1.336650749e+24
3674.1162, 3.282368351e+25, 1.333916378e+24
3674.1774, 3.274515630e+25, 1.331182589e+24
3674.2387, 3.266662778e+25, 1.328449385e+24
3674.3000, 3.258809795e+25, 1.325716770e+24
3674.3613, 3.250956681e+25, 1.322984749e+24
3674.4226, 3.243103436e+25, 1.320253325e+24
3674.4839, 3.235250060e+25, 1.317522502e+24
3674.5451, 3.241417672e+25, 1.317587476e+24
3674.6064, 3.261888202e+25, 1.320505315e+24
3674.6677, 3.282359074e+25, 1.323424997e+24
3674.7290, 3.302830287e+25, 1.326346510e+24
3674.7903, 3.323301842e+25, 1.329269842e+24
3674.8516, 3.343773738e+25, 1.332194982e+24
3674.9129, 3.364245975e+25, 1.335121918e+24
3674.9742, 3.384718554e+25, 1.338050639e+24
3675.0354, 3.405191475e+25, 1.340981134e+24
3675.0967, 3.425664736e+25, 1.343913391e+24
3675.1580, 3.446138340e+25, 1.346847400e+24
3675.2193, 3.466612284e+25, 1.349783148e+24
3675.2806, 3.487086570e+25, 1.352720627e+24
3675.3419, 3.507561198e+25, 1.355659823e+24
3675.4032, 3.519971244e+25, 1.356736967e+24
3675.4645, 3.528738469e+25, 1.356973397e+24
3675.5258, 3.537505841e+25, 1.357210889e+24
3675.5871, 3.546273359e+25, 1.357449444e+24
3675.6484, 3.555041024e+25, 1.357689059e+24
3675.7097, 3.563808834e+25, 1.357929736e+24
3675.7710, 3.572576791e+25, 1.358171474e+24
3675.8323, 3.581344894e+25, 1.358414271e+24
3675.8937, 3.590113144e+25, 1.358658128e+24
3675.9550, 3.598881539e+25, 1.358903044e+24
3676.0163, 3.607650081e+25, 1.359149019e+24
3676.0776, 3.616418769e+25, 1.359396051e+24
3676.1389, 3.625187603e+25, 1.359644141e+24
3676.2002, 3.633956584e+25, 1.359893288e+24
3676.2615, 3.627197578e+25, 1.359062881e+24
3676.3228, 3.618372430e+25, 1.358088749e+24
3676.3841, 3.609547134e+25, 1.357114604e+24
3676.4455, 3.600721691e+25, 1.356140445e+24
3676.5068, 3.591896101e+25, 1.355166273e+24
3676.5681, 3.583070364e+25, 1.354192087e+24
3676.6294, 3.574244479e+25, 1.353217889e+24
3676.6907, 3.565418448e+25, 1.352243677e+24
3676.7521, 3.556592269e+25, 1.351269452e+24
3676.8134, 3.547765943e+25, 1.350295213e+24
3676.8747, 3.538939470e+25, 1.349320962e+24
3676.9360, 3.530112849e+25, 1.348346697e+24
3676.9973, 3.521286081e+25, 1.347372418e+24
3677.0587, 3.513582273e+25, 1.346478832e+24
3677.1200, 3.519181516e+25, 1.346541354e+24
3677.1813, 3.524780852e+25, 1.346604193e+24
3677.2427, 3.530380281e+25, 1.346667351e+24
3677.3040, 3.535979803e+25, 1.346730828e+24
3677.3653, 3.541579419e+25, 1.346794622e+24
3677.4267, 3.547179128e+25, 1.346858735e+24
3677.4880, 3.552778931e+25, 1.346923166e+24
3677.5493, 3.558378827e+25, 1.346987915e+24
3677.6107, 3.563978817e+25, 1.347052982e+24
3677.6720, 3.569578900e+25, 1.347118367e+24
3677.7333, 3.575179076e+25, 1.347184070e+24
3677.7947, 3.580779346e+25, 1.347250091e+24
3677.8560, 3.586379709e+25, 1.347316430e+24
3677.9173, 3.585475646e+25, 1.346371084e+24
3677.9787, 3.567110917e+25, 1.342712808e+24
3678.0400, 3.548745881e+25, 1.339060137e+24
3678.1014, 3.530380538e+25, 1.335413117e+24
3678.1627, 3.512014890e+25, 1.331771796e+24
3678.2241, 3.493648935e+25, 1.328136222e+24
3678.2854, 3.475282673e+25, 1.324506442e+24
3678.3468, 3.456916106e+25, 1.320882506e+24
3678.4081, 3.438549232e+25, 1.317264461e+24
3678.4695, 3.420182052e+25, 1.313652359e+24
3678.5308, 3.401814565e+25, 1.310046248e+24
3678.5922, 3.383446772e+25, 1.306446179e+24
3678.6535, 3.365078673e+25, 1.302852203e+24
3678.7149, 3.346710267e+25, 1.299264371e+24
3678.7762, 3.327352333e+25, 1.295851199e+24
3678.8376, 3.306855475e+25, 1.292641356e+24
3678.8989, 3.286358276e+25, 1.289442174e+24
3678.9603, 3.265860734e+25, 1.286253734e+24
3679.0217, 3.245362851e+25, 1.283076118e+24
3679.0830, 3.224864626e+25, 1.279909407e+24
3679.1444, 3.204366059e+25, 1.276753683e+24
3679.2057, 3.183867150e+25, 1.273609029e+24
3679.2671, 3.163367900e+25, 1.270475527e+24
3679.3285, 3.142868307e+25, 1.267353262e+24
3679.3898, 3.122368372e+25, 1.264242317e+24
3679.4512, 3.101868096e+25, 1.261142778e+24
3679.5126, 3.081367478e+25, 1.258054730e+24
3679.5739, 3.060866517e+25, 1.254978258e+24
3679.6353, 3.053953998e+25, 1.253776303e+24
3679.6967, 3.054043772e+25, 1.253536379e+24
3679.7580, 3.054133547e+25, 1.253296581e+24
3679.8194, 3.054223323e+25, 1.253056909e+24
3679.8808, 3.054313101e+25, 1.252817363e+24
3679.9422, 3.054402880e+25, 1.252577944e+24
3680.0035, 3.054492661e+25, 1.252338651e+24
3680.0649, 3.054582444e+25, 1.252099484e+24
3680.1263, 3.054672227e+25, 1.251860444e+24
3680.1877, 3.054762013e+25, 1.251621530e+24
3680.2490, 3.054851800e+25, 1.251382743e+24
3680.3104, 3.054941588e+25, 1.251144083e+24
3680.3718, 3.055031378e+25, 1.250905549e+24
3680.4332, 3.055121169e+25, 1.250667143e+24
3680.4946, 3.063191167e+25, 1.250764476e+24
3680.5560, 3.072633745e+25, 1.250920328e+24
3680.6173, 3.082076480e+25, 1.251077034e+24
3680.6787, 3.091519373e+25, 1.251234594e+24
3680.7401, 3.100962424e+25, 1.251393008e+24
3680.8015, 3.110405632e+25, 1.251552275e+24
3680.8629, 3.119848997e+25, 1.251712395e+24
3680.9243, 3.129292520e+25, 1.251873367e+24
3680.9857, 3.138736201e+25, 1.252035193e+24
3681.0471, 3.148180039e+25, 1.252197870e+24
3681.1085, 3.157624034e+25, 1.252361399e+24
3681.1699, 3.167068188e+25, 1.252525780e+24
3681.2313, 3.176512498e+25, 1.252691012e+24
