# wavelength, Lum[W], Lum_error [W]
3663.5915, 2.268692859e+25, 9.272995389e+23
3663.6526, 2.263121084e+25, 9.261354076e+23
3663.7137, 2.257549217e+25, 9.249712790e+23
3663.7748, 2.251977256e+25, 9.238071533e+23
3663.8359, 2.246405203e+25, 9.226430306e+23
3663.8970, 2.240833057e+25, 9.214789109e+23
3663.9581, 2.235260818e+25, 9.203147944e+23
3664.0193, 2.229688486e+25, 9.191506811e+23
3664.0804, 2.224116061e+25, 9.179865711e+23
3664.1415, 2.218543543e+25, 9.168224645e+23
3664.2026, 2.212970932e+25, 9.156583613e+23
3664.2637, 2.207398228e+25, 9.144942618e+23
3664.3248, 2.201825431e+25, 9.133301659e+23
3664.3859, 2.199047992e+25, 9.125689702e+23
3664.4470, 2.210178874e+25, 9.138123374e+23
3664.5082, 2.221309942e+25, 9.150557446e+23
3664.5693, 2.232441196e+25, 9.162991915e+23
3664.6304, 2.243572636e+25, 9.175426782e+23
3664.6915, 2.254704261e+25, 9.187862046e+23
3664.7526, 2.265836072e+25, 9.200297706e+23
3664.8138, 2.276968068e+25, 9.212733761e+23
3664.8749, 2.288100251e+25, 9.225170210e+23
3664.9360, 2.299232618e+25, 9.237607054e+23
3664.9971, 2.310365172e+25, 9.250044290e+23
3665.0583, 2.321497911e+25, 9.262481918e+23
3665.1194, 2.332630836e+25, 9.274919938e+23
3665.1805, 2.343763947e+25, 9.287358349e+23
3665.2416, 2.351133148e+25, 9.291695030e+23
3665.3028, 2.351828030e+25, 9.281669305e+23
3665.3639, 2.352522924e+25, 9.271649356e+23
3665.4250, 2.353217829e+25, 9.261635203e+23
3665.4862, 2.353912746e+25, 9.251626865e+23
3665.5473, 2.354607674e+25, 9.241624361e+23
3665.6084, 2.355302614e+25, 9.231627713e+23
3665.6696, 2.355997566e+25, 9.221636939e+23
3665.7307, 2.356692529e+25, 9.211652060e+23
3665.7919, 2.357387504e+25, 9.201673095e+23
3665.8530, 2.358082490e+25, 9.191700065e+23
3665.9141, 2.358777488e+25, 9.181732990e+23
3665.9753, 2.359472497e+25, 9.171771890e+23
3666.0364, 2.360167519e+25, 9.161816786e+23
3666.0976, 2.354113447e+25, 9.153152274e+23
3666.1587, 2.342656188e+25, 9.145518214e+23
3666.2198, 2.331198739e+25, 9.137885104e+23
3666.2810, 2.319741098e+25, 9.130252947e+23
3666.3421, 2.308283267e+25, 9.122621746e+23
3666.4033, 2.296825244e+25, 9.114991503e+23
3666.4644, 2.285367031e+25, 9.107362222e+23
3666.5256, 2.273908626e+25, 9.099733905e+23
3666.5867, 2.262450030e+25, 9.092106555e+23
3666.6479, 2.250991243e+25, 9.084480174e+23
3666.7090, 2.239532264e+25, 9.076854766e+23
3666.7702, 2.228073095e+25, 9.069230333e+23
3666.8314, 2.216613735e+25, 9.061606879e+23
3666.8925, 2.205154183e+25, 9.053984405e+23
3666.9537, 2.217017602e+25, 9.069809234e+23
3667.0148, 2.236720397e+25, 9.093523571e+23
3667.0760, 2.256423521e+25, 9.117247991e+23
3667.1372, 2.276126973e+25, 9.140982420e+23
3667.1983, 2.295830754e+25, 9.164726784e+23
3667.2595, 2.315534864e+25, 9.188481009e+23
3667.3206, 2.335239302e+25, 9.212245022e+23
3667.3818, 2.354944069e+25, 9.236018751e+23
3667.4430, 2.374649164e+25, 9.259802126e+23
3667.5041, 2.394354588e+25, 9.283595075e+23
3667.5653, 2.414060341e+25, 9.307397528e+23
3667.6265, 2.433766423e+25, 9.331209417e+23
3667.6876, 2.453472833e+25, 9.355030672e+23
3667.7488, 2.473179572e+25, 9.378861226e+23
3667.8100, 2.464252293e+25, 9.366992034e+23
3667.8712, 2.453595470e+25, 9.352967462e+23
3667.9323, 2.442938470e+25, 9.338943939e+23
3667.9935, 2.432281291e+25, 9.324921473e+23
3668.0547, 2.421623935e+25, 9.310900067e+23
3668.1159, 2.410966401e+25, 9.296879729e+23
3668.1770, 2.400308690e+25, 9.282860463e+23
3668.2382, 2.389650800e+25, 9.268842277e+23
3668.2994, 2.378992733e+25, 9.254825177e+23
3668.3606, 2.368334488e+25, 9.240809167e+23
3668.4218, 2.357676065e+25, 9.226794255e+23
3668.4829, 2.347017465e+25, 9.212780446e+23
3668.5441, 2.336358687e+25, 9.198767747e+23
3668.6053, 2.327696788e+25, 9.188538658e+23
3668.6665, 2.331555928e+25, 9.202025652e+23
3668.7277, 2.335415133e+25, 9.215513091e+23
3668.7889, 2.339274402e+25, 9.229000973e+23
3668.8501, 2.343133735e+25, 9.242489297e+23
3668.9113, 2.346993133e+25, 9.255978063e+23
3668.9724, 2.350852595e+25, 9.269467270e+23
3669.0336, 2.354712122e+25, 9.282956916e+23
3669.0948, 2.358571713e+25, 9.296447001e+23
3669.1560, 2.362431368e+25, 9.309937524e+23
3669.2172, 2.366291088e+25, 9.323428483e+23
3669.2784, 2.370150872e+25, 9.336919879e+23
3669.3396, 2.374010721e+25, 9.350411710e+23
3669.4008, 2.377870633e+25, 9.363903975e+23
3669.4620, 2.383517468e+25, 9.376339575e+23
3669.5232, 2.392786658e+25, 9.386634376e+23
3669.5844, 2.402056003e+25, 9.396932105e+23
3669.6456, 2.411325502e+25, 9.407232753e+23
3669.7068, 2.420595156e+25, 9.417536310e+23
3669.7680, 2.429864965e+25, 9.427842769e+23
3669.8292, 2.439134928e+25, 9.438152121e+23
3669.8904, 2.448405046e+25, 9.448464356e+23
3669.9516, 2.457675318e+25, 9.458779466e+23
3670.0129, 2.466945745e+25, 9.469097443e+23
3670.0741, 2.476216327e+25, 9.479418277e+23
3670.1353, 2.485487063e+25, 9.489741960e+23
3670.1965, 2.494757954e+25, 9.500068484e+23
3670.2577, 2.504028999e+25, 9.510397839e+23
3670.3189, 2.505330097e+25, 9.511336726e+23
3670.3801, 2.499410742e+25, 9.503766479e+23
3670.4413, 2.493491288e+25, 9.496196143e+23
3670.5026, 2.487571735e+25, 9.488625716e+23
3670.5638, 2.481652084e+25, 9.481055200e+23
3670.6250, 2.475732333e+25, 9.473484593e+23
3670.6862, 2.469812485e+25, 9.465913897e+23
3670.7474, 2.463892537e+25, 9.458343111e+23
3670.8087, 2.457972491e+25, 9.450772236e+23
3670.8699, 2.452052346e+25, 9.443201271e+23
3670.9311, 2.446132102e+25, 9.435630217e+23
3670.9923, 2.440211759e+25, 9.428059074e+23
3671.0536, 2.434291318e+25, 9.420487841e+23
3671.1148, 2.428370778e+25, 9.412916519e+23
3671.1760, 2.420345881e+25, 9.408873644e+23
3671.2372, 2.411498132e+25, 9.406210780e+23
3671.2985, 2.402650235e+25, 9.403548447e+23
3671.3597, 2.393802191e+25, 9.400886645e+23
3671.4209, 2.384953999e+25, 9.398225375e+23
3671.4822, 2.376105660e+25, 9.395564638e+23
3671.5434, 2.367257173e+25, 9.392904433e+23
3671.6046, 2.358408538e+25, 9.390244763e+23
3671.6659, 2.349559756e+25, 9.387585626e+23
3671.7271, 2.340710827e+25, 9.384927023e+23
3671.7884, 2.331861749e+25, 9.382268956e+23
3671.8496, 2.323012525e+25, 9.379611425e+23
3671.9108, 2.314163152e+25, 9.376954429e+23
3671.9721, 2.305313632e+25, 9.374297970e+23
3672.0333, 2.328093947e+25, 9.393006429e+23
3672.0946, 2.353885769e+25, 9.413756406e+23
3672.1558, 2.379678021e+25, 9.434514336e+23
3672.2171, 2.405470703e+25, 9.455280170e+23
3672.2783, 2.431263816e+25, 9.476053859e+23
3672.3395, 2.457057358e+25, 9.496835353e+23
3672.4008, 2.482851331e+25, 9.517624605e+23
3672.4620, 2.508645734e+25, 9.538421566e+23
3672.5233, 2.534440568e+25, 9.559226188e+23
3672.5845, 2.560235831e+25, 9.580038424e+23
3672.6458, 2.586031525e+25, 9.600858227e+23
3672.7071, 2.611827649e+25, 9.621685551e+23
3672.7683, 2.637624203e+25, 9.642520350e+23
3672.8296, 2.658321320e+25, 9.659033620e+23
3672.8908, 2.636521354e+25, 9.639478433e+23
3672.9521, 2.614721024e+25, 9.619925684e+23
3673.0133, 2.592920331e+25, 9.600375389e+23
3673.0746, 2.571119274e+25, 9.580827567e+23
3673.1359, 2.549317853e+25, 9.561282233e+23
3673.1971, 2.527516069e+25, 9.541739406e+23
3673.2584, 2.505713922e+25, 9.522199103e+23
3673.3196, 2.483911410e+25, 9.502661343e+23
3673.3809, 2.462108535e+25, 9.483126142e+23
3673.4422, 2.440305297e+25, 9.463593518e+23
3673.5034, 2.418501695e+25, 9.444063491e+23
3673.5647, 2.396697729e+25, 9.424536078e+23
3673.6260, 2.374893399e+25, 9.405011297e+23
3673.6873, 2.356544555e+25, 9.383852129e+23
3673.7485, 2.346215863e+25, 9.358896002e+23
3673.8098, 2.335886999e+25, 9.333942011e+23
3673.8711, 2.325557962e+25, 9.308990178e+23
3673.9323, 2.315228753e+25, 9.284040524e+23
3673.9936, 2.304899372e+25, 9.259093068e+23
3674.0549, 2.294569819e+25, 9.234147834e+23
3674.1162, 2.284240093e+25, 9.209204841e+23
3674.1774, 2.273910196e+25, 9.184264113e+23
3674.2387, 2.263580125e+25, 9.159325670e+23
3674.3000, 2.253249883e+25, 9.134389536e+23
3674.3613, 2.242919468e+25, 9.109455732e+23
3674.4226, 2.232588881e+25, 9.084524282e+23
3674.4839, 2.222258122e+25, 9.059595209e+23
3674.5451, 2.219236068e+25, 9.051022262e+23
3674.6064, 2.223669685e+25, 9.059133380e+23
3674.6677, 2.228103375e+25, 9.067246241e+23
3674.7290, 2.232537139e+25, 9.075360840e+23
3674.7903, 2.236970977e+25, 9.083477175e+23
3674.8516, 2.241404889e+25, 9.091595241e+23
3674.9129, 2.245838876e+25, 9.099715033e+23
3674.9742, 2.250272936e+25, 9.107836547e+23
3675.0354, 2.254707070e+25, 9.115959779e+23
3675.0967, 2.259141277e+25, 9.124084725e+23
3675.1580, 2.263575559e+25, 9.132211381e+23
3675.2193, 2.268009915e+25, 9.140339743e+23
3675.2806, 2.272444345e+25, 9.148469807e+23
3675.3419, 2.276878849e+25, 9.156601568e+23
3675.4032, 2.279675179e+25, 9.154024939e+23
3675.4645, 2.281731538e+25, 9.146610632e+23
3675.5258, 2.283787932e+25, 9.139196205e+23
3675.5871, 2.285844360e+25, 9.131781656e+23
3675.6484, 2.287900823e+25, 9.124366986e+23
3675.7097, 2.289957319e+25, 9.116952196e+23
3675.7710, 2.292013850e+25, 9.109537284e+23
3675.8323, 2.294070416e+25, 9.102122252e+23
3675.8937, 2.296127015e+25, 9.094707098e+23
3675.9550, 2.298183649e+25, 9.087291824e+23
3676.0163, 2.300240318e+25, 9.079876428e+23
3676.0776, 2.302297020e+25, 9.072460912e+23
3676.1389, 2.304353757e+25, 9.065045275e+23
3676.2002, 2.306410528e+25, 9.057629516e+23
3676.2615, 2.307561586e+25, 9.051204829e+23
3676.3228, 2.308592153e+25, 9.044914667e+23
3676.3841, 2.309622736e+25, 9.038627332e+23
3676.4455, 2.310653337e+25, 9.032342829e+23
3676.5068, 2.311683956e+25, 9.026061165e+23
3676.5681, 2.312714591e+25, 9.019782347e+23
3676.6294, 2.313745243e+25, 9.013506380e+23
3676.6907, 2.314775913e+25, 9.007233271e+23
3676.7521, 2.315806600e+25, 9.000963026e+23
3676.8134, 2.316837304e+25, 8.994695651e+23
3676.8747, 2.317868026e+25, 8.988431154e+23
3676.9360, 2.318898764e+25, 8.982169540e+23
3676.9973, 2.319929520e+25, 8.975910815e+23
3677.0587, 2.321037170e+25, 8.970512072e+23
3677.1200, 2.323055451e+25, 8.975267977e+23
3677.1813, 2.325073766e+25, 8.980026179e+23
3677.2427, 2.327092115e+25, 8.984786674e+23
3677.3040, 2.329110497e+25, 8.989549458e+23
3677.3653, 2.331128913e+25, 8.994314529e+23
3677.4267, 2.333147362e+25, 8.999081882e+23
3677.4880, 2.335165846e+25, 9.003851515e+23
3677.5493, 2.337184362e+25, 9.008623425e+23
3677.6107, 2.339202913e+25, 9.013397607e+23
3677.6720, 2.341221497e+25, 9.018174058e+23
3677.7333, 2.343240115e+25, 9.022952775e+23
3677.7947, 2.345258766e+25, 9.027733755e+23
3677.8560, 2.347277452e+25, 9.032516995e+23
3677.9173, 2.349908304e+25, 9.034824504e+23
3677.9787, 2.354182405e+25, 9.030481935e+23
3678.0400, 2.358456578e+25, 9.026140817e+23
3678.1014, 2.362730821e+25, 9.021801153e+23
3678.1627, 2.367005136e+25, 9.017462945e+23
3678.2241, 2.371279522e+25, 9.013126195e+23
3678.2854, 2.375553980e+25, 9.008790906e+23
3678.3468, 2.379828509e+25, 9.004457080e+23
3678.4081, 2.384103109e+25, 9.000124719e+23
3678.4695, 2.388377780e+25, 8.995793825e+23
3678.5308, 2.392652523e+25, 8.991464401e+23
3678.5922, 2.396927337e+25, 8.987136450e+23
3678.6535, 2.401202222e+25, 8.982809972e+23
3678.7149, 2.405477178e+25, 8.978484972e+23
3678.7762, 2.407583503e+25, 8.978363900e+23
3678.8376, 2.407193673e+25, 8.983080454e+23
3678.8989, 2.406803836e+25, 8.987797317e+23
3678.9603, 2.406413994e+25, 8.992514488e+23
3679.0217, 2.406024144e+25, 8.997231967e+23
3679.0830, 2.405634288e+25, 9.001949755e+23
3679.1444, 2.405244426e+25, 9.006667850e+23
3679.2057, 2.404854557e+25, 9.011386252e+23
3679.2671, 2.404464681e+25, 9.016104961e+23
3679.3285, 2.404074799e+25, 9.020823977e+23
3679.3898, 2.403684911e+25, 9.025543298e+23
3679.4512, 2.403295016e+25, 9.030262926e+23
3679.5126, 2.402905115e+25, 9.034982859e+23
3679.5739, 2.402515207e+25, 9.039703097e+23
3679.6353, 2.400913475e+25, 9.038013967e+23
3679.6967, 2.398687257e+25, 9.033022955e+23
3679.7580, 2.396461001e+25, 9.028033145e+23
3679.8194, 2.394234709e+25, 9.023044538e+23
3679.8808, 2.392008380e+25, 9.018057136e+23
3679.9422, 2.389782013e+25, 9.013070942e+23
3680.0035, 2.387555610e+25, 9.008085958e+23
3680.0649, 2.385329169e+25, 9.003102186e+23
3680.1263, 2.383102691e+25, 8.998119628e+23
3680.1877, 2.380876176e+25, 8.993138286e+23
3680.2490, 2.378649623e+25, 8.988158164e+23
3680.3104, 2.376423034e+25, 8.983179262e+23
3680.3718, 2.374196408e+25, 8.978201583e+23
3680.4332, 2.371969744e+25, 8.973225130e+23
3680.4946, 2.370393089e+25, 8.967158363e+23
3680.5560, 2.368928203e+25, 8.960903901e+23
3680.6173, 2.367463292e+25, 8.954649375e+23
3680.6787, 2.365998358e+25, 8.948394783e+23
3680.7401, 2.364533398e+25, 8.942140127e+23
3680.8015, 2.363068415e+25, 8.935885405e+23
3680.8629, 2.361603407e+25, 8.929630619e+23
3680.9243, 2.360138374e+25, 8.923375768e+23
3680.9857, 2.358673317e+25, 8.917120852e+23
3681.0471, 2.357208236e+25, 8.910865872e+23
3681.1085, 2.355743130e+25, 8.904610827e+23
3681.1699, 2.354278000e+25, 8.898355718e+23
3681.2313, 2.352812845e+25, 8.892100545e+23
3681.2927, 2.351337481e+25, 8.886454695e+23
3681.3541, 2.349660665e+25, 8.892860787e+23
3681.4155, 2.347983822e+25, 8.899267012e+23
3681.4769, 2.346306950e+25, 8.905673367e+23
3681.5383, 2.344630050e+25, 8.912079855e+23
3681.5997, 2.342953122e+25, 8.918486474e+23
3681.6611, 2.341276167e+25, 8.924893224e+23
3681.7225, 2.339599183e+25, 8.931300106e+23
3681.7839, 2.337922171e+25, 8.937707119e+23
3681.8453, 2.336245132e+25, 8.944114263e+23
3681.9067, 2.334568064e+25, 8.950521539e+23
3681.9681, 2.332890969e+25, 8.956928945e+23
3682.0295, 2.331213845e+25, 8.963336483e+23
3682.0909, 2.329536694e+25, 8.969744152e+23
3682.1523, 2.330939980e+25, 8.974086163e+23
3682.2137, 2.342029256e+25, 8.971934090e+23
3682.2751, 2.353118716e+25, 8.969784128e+23
3682.3366, 2.364208362e+25, 8.967636279e+23
3682.3980, 2.375298192e+25, 8.965490546e+23
3682.4594, 2.386388208e+25, 8.963346928e+23
3682.5208, 2.397478408e+25, 8.961205429e+23
3682.5822, 2.408568794e+25, 8.959066050e+23
3682.6436, 2.419659364e+25, 8.956928792e+23
3682.7051, 2.430750119e+25, 8.954793657e+23
3682.7665, 2.441841060e+25, 8.952660648e+23
