ra, dec, MJD, MANGAID, Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
139.23090,+022.87793,57058,4-4639,csv,1.113333333300693,K5,+0.5,nan,nan
139.23090,+022.87793,57061,4-4639,csv,-4.558333333199684,G9,+0.0,nan,nan
139.46845,+021.74163,57738,7-5464872,csv,-3.7783333332225477,K7,+0.5,nan,nan
139.65417,+023.26911,57027,4-4438,csv,-7.129999999790947,K5,-2.0,nan,nan
139.65417,+023.26911,57058,4-4438,csv,-9.104999999733039,K5,-2.0,nan,nan
139.65417,+023.26911,57061,4-4438,csv,1.9474999999429121,K5,-2.0,nan,nan
139.88971,+022.52707,57027,4-4231,csv,43.01999999873866,F3,-2.0,nan,nan
139.88971,+022.52707,57058,4-4231,csv,44.87166666535102,F2,-1.5,nan,nan
139.88971,+022.52707,57061,4-4231,csv,-79.90166666432395,F6,-1.5,nan,nan
140.26901,+047.99367,57828,3-150067470,csv,-6.038333333156281,K1,+0.5,nan,nan
140.26901,+047.99367,57852,3-150067470,csv,-2.189999999935784,K1,+0.5,nan,nan
140.26901,+047.99367,57822,3-150067470,csv,-1.6683333332844164,G5,+0.0,nan,nan
140.26901,+047.99367,57825,3-150067470,csv,-6.853333333132393,G3,+0.0,nan,nan
140.26901,+047.99367,57849,3-150067470,csv,-0.4266666666541532,G6,+0.0,nan,nan
140.50784,+027.53355,57358,4-2582,csv,-3.251666666571323,K4,-1.0,nan,nan
140.50784,+027.53355,57414,4-2582,csv,-1.8883333332779622,K3,-1.0,nan,nan
140.89155,+028.59906,57360,4-2087,csv,3.263333333237661,G1,-2.0,nan,nan
140.89155,+028.59906,57471,4-2087,csv,-4.131666666545531,G7,-1.5,nan,nan
140.89155,+028.59906,57474,4-2087,csv,-1.2566666666298243,K3,-1.0,nan,nan
141.15619,+028.06941,57360,4-2949,csv,-13.149999999614447,F7,+0.0,nan,nan
141.15619,+028.06941,57471,4-2949,csv,-55.10999999838418,A0,+0.0,nan,nan
