# wavelength, Lum[W/AA], LumErr[W/AA]
3594.3800, nan, nan
3594.4887, nan, nan
3594.5974, nan, nan
3594.7062, nan, nan
3594.8149, nan, nan
3594.9236, nan, nan
3595.0324, nan, nan
3595.1411, nan, nan
3595.2498, nan, nan
3595.3586, nan, nan
3595.4673, nan, nan
3595.5760, nan, nan
3595.6848, nan, nan
3595.7935, nan, nan
3595.9022, nan, nan
3596.0110, nan, nan
3596.1197, nan, nan
3596.2284, nan, nan
3596.3372, nan, nan
3596.4459, nan, nan
3596.5546, nan, nan
3596.6634, nan, nan
3596.7721, nan, nan
3596.8808, nan, nan
3596.9896, nan, nan
3597.0983, nan, nan
3597.2070, nan, nan
3597.3158, nan, nan
3597.4245, nan, nan
3597.5332, nan, nan
3597.6420, nan, nan
3597.7507, nan, nan
3597.8594, nan, nan
3597.9682, nan, nan
3598.0769, nan, nan
3598.1856, nan, nan
3598.2944, nan, nan
3598.4031, nan, nan
3598.5118, nan, nan
3598.6206, nan, nan
3598.7293, nan, nan
3598.8380, nan, nan
3598.9468, nan, nan
3599.0555, nan, nan
3599.1642, nan, nan
3599.2730, nan, nan
3599.3817, nan, nan
3599.4904, nan, nan
3599.5991, nan, nan
3599.7079, nan, nan
3599.8166, nan, nan
3599.9253, nan, nan
3600.0341, nan, nan
3600.1428, nan, nan
3600.2515, nan, nan
3600.3603, nan, nan
3600.4690, nan, nan
3600.5777, nan, nan
3600.6865, nan, nan
3600.7952, nan, nan
3600.9039, nan, nan
3601.0127, nan, nan
3601.1214, nan, nan
3601.2301, nan, nan
3601.3389, nan, nan
3601.4476, nan, nan
3601.5563, nan, nan
3601.6651, nan, nan
3601.7738, nan, nan
3601.8825, nan, nan
3601.9913, nan, nan
3602.1000, nan, nan
3602.2087, nan, nan
3602.3175, nan, nan
3602.4262, nan, nan
3602.5349, nan, nan
3602.6437, nan, nan
3602.7524, nan, nan
3602.8611, nan, nan
3602.9699, nan, nan
3603.0786, nan, nan
3603.1873, nan, nan
3603.2961, nan, nan
3603.4048, nan, nan
3603.5135, nan, nan
3603.6223, nan, nan
3603.7310, nan, nan
3603.8397, nan, nan
3603.9485, nan, nan
3604.0572, nan, nan
3604.1659, nan, nan
3604.2747, nan, nan
3604.3834, nan, nan
3604.4921, nan, nan
3604.6009, nan, nan
3604.7096, nan, nan
3604.8183, nan, nan
3604.9271, nan, nan
3605.0358, nan, nan
3605.1445, nan, nan
3605.2532, nan, nan
3605.3620, nan, nan
3605.4707, nan, nan
3605.5794, nan, nan
3605.6882, nan, nan
3605.7969, nan, nan
3605.9056, nan, nan
3606.0144, nan, nan
3606.1231, nan, nan
3606.2318, nan, nan
3606.3406, nan, nan
3606.4493, nan, nan
3606.5580, nan, nan
3606.6668, nan, nan
3606.7755, nan, nan
3606.8842, nan, nan
3606.9930, nan, nan
3607.1017, nan, nan
3607.2104, nan, nan
3607.3192, nan, nan
3607.4279, nan, nan
3607.5366, nan, nan
3607.6454, nan, nan
3607.7541, nan, nan
3607.8628, nan, nan
3607.9716, nan, nan
3608.0803, nan, nan
3608.1890, nan, nan
3608.2978, nan, nan
3608.4065, nan, nan
