# wavelength, Lumniosty[W/AA], Error
3.677053899999999885e+03,3.865901353798485279e+20,2.514099435692253594e+19
3.677900700000000143e+03,2.730661793016869356e+20,2.425327396413937664e+19
3.678747699999999895e+03,3.327836067692274647e+20,2.349628886754043904e+19
3.679594799999999850e+03,2.935948770772260291e+20,2.327814953157342413e+19
3.680442199999999957e+03,2.289461413359514419e+20,2.150586103756771738e+19
3.681289699999999812e+03,2.637182986169222431e+20,2.217062912761253069e+19
3.682137499999999818e+03,2.624966648583873167e+20,2.250462873806315110e+19
3.682985400000000027e+03,3.171050895287285187e+20,2.318465993104398336e+19
3.683833599999999933e+03,2.995308420011153818e+20,2.313843302259906560e+19
3.684681900000000041e+03,3.296759332196355932e+20,2.304316968854217933e+19
3.685530400000000100e+03,3.562369535739008123e+20,2.332748816018448794e+19
3.686379100000000108e+03,2.947244674320120873e+20,2.192988928621041254e+19
3.687228099999999813e+03,2.696102030140202025e+20,2.085553502100941619e+19
3.688077200000000175e+03,2.254107717430643917e+20,1.997386654487601152e+19
3.688926500000000033e+03,2.209317927857873879e+20,1.966144057356523520e+19
3.689775999999999840e+03,2.538748332690114806e+20,2.047808829858506752e+19
3.690625700000000052e+03,2.958900681800378614e+20,2.151246703777085850e+19
3.691475600000000213e+03,3.309747714437012521e+20,2.261375918616392909e+19
3.692325699999999870e+03,3.662830567736752210e+20,2.318929567345589453e+19
3.693175999999999931e+03,3.824128684904267121e+20,2.305429551962863616e+19
3.694026400000000194e+03,3.415597400711592018e+20,2.249300286538287923e+19
3.694877100000000155e+03,3.125252820993694106e+20,2.209725657722147226e+19
3.695728000000000065e+03,3.470048926760844001e+20,2.270212287538476646e+19
3.696579099999999926e+03,4.012838050726413599e+20,2.344430724341865267e+19
3.697430299999999988e+03,3.808289221841450435e+20,2.310309579060895744e+19
3.698281800000000203e+03,3.552030537532320645e+20,2.280797096100139827e+19
3.699133499999999913e+03,3.555799164858472858e+20,2.269297685255209370e+19
3.699985299999999825e+03,3.867928202309344297e+20,2.330130134571075174e+19
3.700837399999999889e+03,4.075110784386258043e+20,2.329382094711861658e+19
3.701689600000000155e+03,3.709614058401870643e+20,2.281003637906322637e+19
3.702542100000000119e+03,3.755546360971830231e+20,2.246147299445966848e+19
3.703394699999999830e+03,3.269077265785362186e+20,2.118173017853052518e+19
3.704247499999999945e+03,2.525384961992955658e+20,1.937179157980129690e+19
3.705100600000000213e+03,2.109634710323384812e+20,1.841310428116310630e+19
3.705953799999999774e+03,2.096229245491403489e+20,1.791951112558391910e+19
3.706807200000000194e+03,1.938046104744805663e+20,1.751142461361357005e+19
3.707660800000000108e+03,1.918649959564801475e+20,1.731207676279340237e+19
3.708514700000000175e+03,2.195414482515061965e+20,1.800569060438131712e+19
3.709368699999999990e+03,1.969484233530088489e+20,1.708185410363763507e+19
3.710222900000000209e+03,1.842220453116172370e+20,1.754694781275809382e+19
3.711077299999999923e+03,2.561178200464862085e+20,1.854026988335705293e+19
3.711931900000000041e+03,2.633929571283352617e+20,1.942408374463981978e+19
3.712786700000000110e+03,3.471204903852946883e+20,2.077170588603972403e+19
3.713641700000000128e+03,3.836260660257019003e+20,2.172712464963973530e+19
3.714496900000000096e+03,3.761739233111218586e+20,2.143691584989611622e+19
3.715352300000000014e+03,3.427209260882205082e+20,2.082026840900121395e+19
3.716207899999999881e+03,2.852261010477912228e+20,1.974394591863388570e+19
3.717063700000000154e+03,2.887165213230002012e+20,1.897689856915823002e+19
3.717919699999999921e+03,2.242861730176690094e+20,1.807570331333406720e+19
3.718775799999999890e+03,2.083518525639539753e+20,1.691877494201183232e+19
3.719632200000000012e+03,1.746509313205751972e+20,1.540602082915617382e+19
3.720488800000000083e+03,1.059233324126657741e+20,1.366172420408845107e+19
3.721345600000000104e+03,1.276717489232926966e+20,1.368879399430141542e+19
3.722202499999999873e+03,1.108086155441569956e+20,1.408054252287456051e+19
3.723059699999999793e+03,1.445603403297562132e+20,1.462658659489129472e+19
3.723917100000000119e+03,1.776231429534239621e+20,1.603814518857038848e+19
3.724774600000000191e+03,2.144806291634398495e+20,1.694883451202657894e+19
3.725632399999999961e+03,2.573958038909045637e+20,1.778028621932748800e+19
3.726490299999999934e+03,2.414192576859786772e+20,1.744306864289972838e+19
3.727348500000000058e+03,2.574640615440171336e+20,1.723203750601801728e+19
3.728206799999999930e+03,2.274266936855541514e+20,1.656959056294838477e+19
3.729065399999999954e+03,1.951926218295876649e+20,1.604021455617270784e+19
