# wavelength, Lumniosty[W/AA], Error
3.669441800000000057e+03,1.164632052482751037e+20,4.248460695029963981e+19
3.670286799999999857e+03,1.673099023487755551e+20,4.975683303550010982e+19
3.671132000000000062e+03,1.655507450290537103e+20,4.421391758727281050e+19
3.671977400000000216e+03,1.248982659860597146e+20,4.154325971614094950e+19
3.672822999999999865e+03,1.357644387437129564e+20,4.236985656537219891e+19
3.673668799999999919e+03,1.342960195268555571e+20,4.184057035843841229e+19
3.674514799999999923e+03,1.138781469324875203e+20,3.948159392363856691e+19
3.675360999999999876e+03,1.152461266253845627e+20,3.914722385093600870e+19
3.676207399999999780e+03,1.305658132617871524e+20,3.969441764901512806e+19
3.677053899999999885e+03,7.729355707839909069e+19,3.696966941387506483e+19
3.677900700000000143e+03,8.318044228328403763e+19,3.891282393785128550e+19
3.678747699999999895e+03,1.674948205879951974e+19,3.371803858688107315e+19
3.679594799999999850e+03,3.170932601057051443e+19,3.318294555150474854e+19
3.680442199999999957e+03,9.436521578847238554e+19,3.527632527417493504e+19
3.681289699999999812e+03,5.306225318262781542e+19,3.322682284417877197e+19
3.682137499999999818e+03,1.089828738606312161e+20,3.759489896833021542e+19
3.682985400000000027e+03,1.483867515195688878e+20,4.006474182601972941e+19
3.683833599999999933e+03,1.403401111005665362e+20,3.822684181500488909e+19
3.684681900000000041e+03,9.231316041148627354e+19,3.530306575446851994e+19
3.685530400000000100e+03,7.590125757747106611e+19,3.594967858628977459e+19
3.686379100000000108e+03,1.521453838808927764e+20,4.156026901845227930e+19
3.687228099999999813e+03,1.555434266732779602e+20,3.440376436163523641e+21
3.688077200000000175e+03,1.589414865827645686e+20,3.440376448735943066e+21
3.688926500000000033e+03,1.623395331677115187e+20,3.440376456402696143e+21
3.689775999999999840e+03,1.657375795983279391e+20,3.440376461877360722e+21
3.690625700000000052e+03,1.691356389514114171e+20,3.440376462451881804e+21
3.691475600000000213e+03,1.725336849849420349e+20,3.440376458129643143e+21
3.692325699999999870e+03,1.759317439141406310e+20,3.440376448914027446e+21
3.693175999999999931e+03,1.793297895090837914e+20,3.440376437516110660e+21
3.694026400000000194e+03,1.827278398172790456e+20,3.440376514363838693e+21
3.694877100000000155e+03,1.861258981523363594e+20,3.440376495878577324e+21
3.695728000000000065e+03,1.895239431040379453e+20,3.745017939631920742e+19
3.696579099999999926e+03,1.369077850112824607e+20,3.698869546711444685e+19
3.697430299999999988e+03,1.641216343956503921e+20,3.719909884440553062e+19
3.698281800000000203e+03,1.642084225977587794e+20,3.957035242690267546e+19
3.699133499999999913e+03,1.684769246095065416e+20,3.983355961605603328e+19
3.699985299999999825e+03,1.503529288886634414e+20,3.667611201049907200e+19
3.700837399999999889e+03,7.233478177128235827e+19,3.462593930768209510e+19
3.701689600000000155e+03,1.445665278633843098e+20,3.477446550353654579e+19
3.702542100000000119e+03,1.407565787840737935e+20,3.690694841795316941e+19
3.703394699999999830e+03,1.348225723280318956e+20,3.575686852929827226e+19
3.704247499999999945e+03,1.161610373496911299e+20,3.627429082424972902e+19
3.705100600000000213e+03,8.066475639015037338e+19,3.281592221814435840e+19
3.705953799999999774e+03,1.280929797343938806e+20,3.328456531217415782e+19
3.706807200000000194e+03,8.249070412941896909e+19,3.163228071317008384e+19
3.707660800000000108e+03,1.097204055182178386e+20,3.147489967259140915e+19
3.708514700000000175e+03,9.691515403727534490e+19,3.091790122875877786e+19
3.709368699999999990e+03,4.748993212780385075e+19,2.726859702568795750e+19
3.710222900000000209e+03,9.704883711973207245e+19,3.126775455997535437e+19
3.711077299999999923e+03,1.111407036711415316e+20,3.058377113298071142e+19
3.711931900000000041e+03,7.604314869030867763e+19,3.039094822833360896e+19
3.712786700000000110e+03,1.479691278790672384e+20,3.350729167932000666e+19
3.713641700000000128e+03,1.671106789058297856e+20,3.373773493010916966e+19
3.714496900000000096e+03,6.056412778268840755e+19,3.120486386729788211e+19
3.715352300000000014e+03,1.369226817333042708e+20,3.295427370373463654e+19
3.716207899999999881e+03,1.939786250118030295e+20,3.658665767865140019e+19
3.717063700000000154e+03,1.386967739885652050e+20,3.290940539975142195e+19
