#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+A2V.txt,csv,11.42666666633165,A3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+A3V.txt,csv,-9.13833333306539,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+A5V.txt,csv,-70.99666666458505,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+A7V.txt,csv,-52.70749999845462,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+F5.txt,csv,-0.9216666666396424,G1,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+F6.txt,csv,-0.9266666666395093,G1,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+F7.txt,csv,-7.877499999769032,G4,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+F9.txt,csv,-4.463333333202464,G3,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+A0V.txt,csv,3.614999999893987,A0,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+A2V.txt,csv,11.441666666331193,A3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+A3V.txt,csv,-141.44749999585278,A6,-1.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+A5V.txt,csv,-73.09833333119009,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+A7V.txt,csv,-58.17833333162755,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+F5.txt,csv,-2.4774999999273555,G3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+F6.txt,csv,-6.131666666486885,G3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+F7.txt,csv,-6.844999999799302,G4,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G7+F9.txt,csv,-12.089999999645514,G4,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+A0V.txt,csv,3.518333333230155,A0,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+A2V.txt,csv,11.146666666339854,A3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+A3V.txt,csv,-10.283333333031834,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+A5V.txt,csv,-74.54999999781421,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+A7V.txt,csv,-58.128333331629015,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+F5.txt,csv,-0.8399999999753667,G0,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+F6.txt,csv,1.289999999962177,G0,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+F7.txt,csv,-7.721666666440263,G3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G8+F9.txt,csv,-13.334999999609018,G1,-1.0,nan,nan
