# wavelength, Lumniosty[W/AA], Error
3.652582199999999830e+03,1.543101877898873877e+22,3.781975417281506181e+21
3.653423299999999927e+03,2.334989487804492913e+22,3.941124377785623642e+21
3.654264700000000175e+03,3.156720554479810773e+22,4.064287015114148676e+21
3.655106200000000172e+03,2.197219831533212271e+22,3.986150771761433543e+21
3.655947900000000118e+03,1.877438386088598254e+22,3.914469875240837054e+21
3.656789800000000014e+03,2.787717538481429912e+22,4.146158532273307124e+21
3.657631899999999860e+03,2.384358762564379528e+22,3.997692979985219322e+21
3.658474200000000110e+03,1.949571216328380908e+22,3.911740060924852044e+21
3.659316699999999855e+03,2.125226812153209133e+22,3.905812945897795879e+21
3.660159400000000005e+03,2.446730062630605554e+22,3.962034888425897722e+21
3.661002300000000105e+03,2.665784906772661456e+22,4.044552146279721861e+21
3.661845400000000154e+03,2.955952788176147317e+22,4.124965658025868657e+21
3.662688599999999951e+03,3.260345804445401167e+22,4.132606834225546527e+21
3.663532099999999900e+03,2.251043803055526825e+22,3.852723815358407901e+21
3.664375700000000052e+03,2.321176560580292300e+22,3.868095056410291208e+21
3.665219599999999900e+03,2.188009924698645830e+22,3.751065543248758964e+21
3.666063599999999951e+03,1.870970722111858514e+22,3.656525795133504881e+21
3.666907900000000154e+03,2.316382009212721011e+22,3.705458893581700825e+21
3.667752300000000105e+03,2.785980105581284819e+22,3.803956971140062642e+21
3.668596900000000005e+03,2.256492700247334165e+22,3.651746990790948159e+21
3.669441800000000057e+03,2.060483496154646761e+22,3.604684775215674687e+21
3.670286799999999857e+03,2.057911992872055551e+22,3.523683814027830493e+21
3.671132000000000062e+03,2.608788862399935624e+22,3.627541671070394221e+21
3.671977400000000216e+03,3.530915941911842574e+22,3.816930079689487679e+21
3.672822999999999865e+03,2.244106347079617269e+22,3.705966633839964455e+21
3.673668799999999919e+03,2.538350950145532625e+22,3.708390054106129498e+21
3.674514799999999923e+03,2.672815625616748026e+22,3.804370043631339307e+21
3.675360999999999876e+03,2.601128905432691324e+22,3.737434505073107403e+21
3.676207399999999780e+03,2.669561550580633882e+22,3.692526414586946519e+21
3.677053899999999885e+03,2.516440043209592563e+22,3.659581340376870945e+21
3.677900700000000143e+03,2.446414883359955721e+22,3.591727794608484123e+21
3.678747699999999895e+03,3.094390623744052901e+22,3.565917206010077905e+21
3.679594799999999850e+03,2.724850991745069587e+22,3.485599949755337146e+21
3.680442199999999957e+03,2.356784902640231462e+22,3.405714215536382968e+21
3.681289699999999812e+03,2.592947195924298334e+22,3.324091423720333640e+21
3.682137499999999818e+03,2.001287485054536961e+22,3.268496513234500583e+21
3.682985400000000027e+03,2.484883073117802883e+22,3.271718389109008892e+21
3.683833599999999933e+03,2.187813419151179907e+22,3.342512653123094315e+21
3.684681900000000041e+03,2.162609966683962684e+22,3.319119311221953659e+21
3.685530400000000100e+03,2.492425928436243182e+22,3.365152958716606677e+21
3.686379100000000108e+03,2.497516306176974573e+22,3.279515725878545875e+21
3.687228099999999813e+03,2.415369874459353678e+22,3.186729513696209928e+21
3.688077200000000175e+03,2.382581035722353725e+22,3.098902368421138137e+21
3.688926500000000033e+03,2.447156511521712688e+22,3.009828279311068037e+21
3.689775999999999840e+03,2.234375105697473259e+22,3.006428479669226963e+21
3.690625700000000052e+03,1.987620474761230732e+22,3.041111375775657886e+21
3.691475600000000213e+03,2.243710628887808023e+22,3.151060394385377591e+21
3.692325699999999870e+03,2.604172297151359379e+22,3.226695120639005557e+21
3.693175999999999931e+03,2.189751355472904559e+22,3.201675116485106729e+21
3.694026400000000194e+03,2.646933036266335030e+22,3.154341273792737182e+21
3.694877100000000155e+03,2.755251434479376610e+22,3.219125932497186062e+21
3.695728000000000065e+03,2.205559411569249695e+22,3.041101520458215326e+21
3.696579099999999926e+03,2.246619376276839229e+22,3.015184850230852977e+21
3.697430299999999988e+03,1.961716615455875006e+22,2.978796668594401837e+21
3.698281800000000203e+03,2.358402514108037883e+22,3.052127728611702604e+21
3.699133499999999913e+03,2.176952409800835911e+22,3.131290668476820095e+21
3.699985299999999825e+03,1.909080059858616372e+22,3.063931826972393996e+21
