# wavelength, Lum[W/AA], LumErr[W/AA]
3573.6128, nan, nan
3573.7207, nan, nan
3573.8286, nan, nan
3573.9385, nan, nan
3574.0464, nan, nan
3574.1562, nan, nan
3574.2642, nan, nan
3574.3740, nan, nan
3574.4819, nan, nan
3574.5901, nan, nan
3574.7000, nan, nan
3574.8079, nan, nan
3574.9177, nan, nan
3575.0256, nan, nan
3575.1335, nan, nan
3575.2434, nan, nan
3575.3516, nan, nan
3575.4614, nan, nan
3575.5693, nan, nan
3575.6772, nan, nan
3575.7871, nan, nan
3575.8953, nan, nan
3576.0051, nan, nan
3576.1130, nan, nan
3576.2212, nan, nan
3576.3311, nan, nan
3576.4390, nan, nan
3576.5469, nan, nan
3576.6570, nan, nan
3576.7649, nan, nan
3576.8750, nan, nan
3576.9829, nan, nan
3577.0908, nan, nan
3577.2009, nan, nan
3577.3088, nan, nan
3577.4170, nan, nan
3577.5269, nan, nan
3577.6350, nan, nan
3577.7429, nan, nan
3577.8530, nan, nan
3577.9609, nan, nan
3578.0710, nan, nan
3578.1790, nan, nan
3578.2871, nan, nan
3578.3970, nan, nan
3578.5051, nan, nan
3578.6130, nan, nan
3578.7231, nan, nan
3578.8313, nan, nan
3578.9392, nan, nan
3579.0493, nan, nan
3579.1575, nan, nan
3579.2654, nan, nan
3579.3755, nan, nan
3579.4836, nan, nan
3579.5916, nan, nan
3579.7017, nan, nan
3579.8098, nan, nan
3579.9180, nan, nan
3580.0278, nan, nan
3580.1360, nan, nan
3580.2441, nan, nan
3580.3542, nan, nan
3580.4624, nan, nan
3580.5703, nan, nan
3580.6804, nan, nan
3580.7886, nan, nan
3580.8967, nan, nan
3581.0068, nan, nan
3581.1150, nan, nan
3581.2231, nan, nan
3581.3313, nan, nan
3581.4414, nan, nan
3581.5493, nan, nan
3581.6575, nan, nan
3581.7676, nan, nan
3581.8757, nan, nan
3581.9839, nan, nan
3582.0940, nan, nan
3582.2021, nan, nan
3582.3105, nan, nan
3582.4187, nan, nan
3582.5288, nan, nan
3582.6370, nan, nan
3582.7451, nan, nan
3582.8552, nan, nan
3582.9634, nan, nan
3583.0715, nan, nan
3583.1797, nan, nan
3583.2900, nan, nan
3583.3982, nan, nan
3583.5063, nan, nan
3583.6145, nan, nan
3583.7246, nan, nan
3583.8330, nan, nan
3583.9412, nan, nan
3584.0513, nan, nan
3584.1594, nan, nan
3584.2678, nan, nan
3584.3760, nan, nan
3584.4861, nan, nan
3584.5945, nan, nan
3584.7026, nan, nan
3584.8108, nan, nan
3584.9211, nan, nan
3585.0293, nan, nan
3585.1375, nan, nan
3585.2458, nan, nan
3585.3560, nan, nan
3585.4644, nan, nan
3585.5725, nan, nan
3585.6809, nan, nan
3585.7910, nan, nan
3585.8994, nan, nan
3586.0076, nan, nan
3586.1160, nan, nan
3586.2241, nan, nan
3586.3345, nan, nan
3586.4426, nan, nan
3586.5510, nan, nan
3586.6592, nan, nan
3586.7695, nan, nan
3586.8779, nan, nan
3586.9861, nan, nan
3587.0945, nan, nan
3587.2029, nan, nan
3587.3130, nan, nan
3587.4214, nan, nan
3587.5298, nan, nan
3587.6379, nan, nan
3587.7463, nan, nan
3587.8567, nan, nan
3587.9651, nan, nan
3588.0732, nan, nan
3588.1816, nan, nan
3588.2900, nan, nan
3588.4004, nan, nan
3588.5085, nan, nan
3588.6169, nan, nan
3588.7253, nan, nan
3588.8337, nan, nan
3588.9441, nan, nan
3589.0525, nan, nan
3589.1609, nan, nan
3589.2690, nan, nan
3589.3774, nan, nan
3589.4878, nan, nan
3589.5962, nan, nan
3589.7046, nan, nan
3589.8130, nan, nan
3589.9214, nan, nan
3590.0298, nan, nan
3590.1401, nan, nan
3590.2485, nan, nan
3590.3569, nan, nan
3590.4653, nan, nan
3590.5737, nan, nan
3590.6821, nan, nan
3590.7927, nan, nan
3590.9011, nan, nan
3591.0095, nan, nan
3591.1179, nan, nan
3591.2263, nan, nan
3591.3347, nan, nan
3591.4451, nan, nan
3591.5537, nan, nan
3591.6621, nan, nan
3591.7705, nan, nan
3591.8789, nan, nan
3591.9873, nan, nan
3592.0959, nan, nan
3592.2063, nan, nan
3592.3147, nan, nan
3592.4233, nan, nan
3592.5317, nan, nan
3592.6401, nan, nan
3592.7488, nan, nan
3592.8572, nan, nan
3592.9656, nan, nan
3593.0762, nan, nan
3593.1846, nan, nan
3593.2930, nan, nan
3593.4016, nan, nan
3593.5100, nan, nan
3593.6187, nan, nan
3593.7271, nan, nan
3593.8357, nan, nan
3593.9441, nan, nan
3594.0547, nan, nan
3594.1631, nan, nan
3594.2717, nan, nan
3594.3801, nan, nan
3594.4888, nan, nan
3594.5972, nan, nan
3594.7058, nan, nan
3594.8142, nan, nan
3594.9229, nan, nan
3595.0334, nan, nan
3595.1418, nan, nan
3595.2505, nan, nan
3595.3591, nan, nan
3595.4675, nan, nan
3595.5762, nan, nan
3595.6848, nan, nan
3595.7932, nan, nan
3595.9019, nan, nan
3596.0105, nan, nan
3596.1189, nan, nan
3596.2275, nan, nan
3596.3381, nan, nan
3596.4468, nan, nan
3596.5554, nan, nan
3596.6638, nan, nan
3596.7725, nan, nan
3596.8811, nan, nan
3596.9897, nan, nan
3597.0984, nan, nan
3597.2070, nan, nan
3597.3157, nan, nan
3597.4241, nan, nan
3597.5327, nan, nan
3597.6414, nan, nan
3597.7500, nan, nan
3597.8586, nan, nan
3597.9673, nan, nan
3598.0759, nan, nan
3598.1865, nan, nan
3598.2952, nan, nan
3598.4038, nan, nan
3598.5125, nan, nan
3598.6211, nan, nan
3598.7297, nan, nan
3598.8384, nan, nan
3598.9473, nan, nan
3599.0559, nan, nan
3599.1646, nan, nan
3599.2732, nan, nan
3599.3818, nan, nan
3599.4905, nan, nan
3599.5991, nan, nan
3599.7080, nan, nan
3599.8167, nan, nan
3599.9253, nan, nan
3600.0339, nan, nan
3600.1426, nan, nan
3600.2515, nan, nan
3600.3601, nan, nan
3600.4688, nan, nan
3600.5776, nan, nan
3600.6863, nan, nan
3600.7949, nan, nan
3600.9036, nan, nan
3601.0125, nan, nan
3601.1211, nan, nan
3601.2300, nan, nan
3601.3386, nan, nan
3601.4473, nan, nan
3601.5562, nan, nan
3601.6648, nan, nan
3601.7737, nan, nan
3601.8823, nan, nan
3601.9912, nan, nan
3602.0999, nan, nan
3602.2087, nan, nan
3602.3174, nan, nan
3602.4263, nan, nan
3602.5349, nan, nan
3602.6438, nan, nan
3602.7524, nan, nan
3602.8613, nan, nan
3602.9700, nan, nan
3603.0789, nan, nan
3603.1877, nan, nan
3603.2964, nan, nan
3603.4053, nan, nan
3603.5139, nan, nan
3603.6228, nan, nan
3603.7317, nan, nan
3603.8406, nan, nan
3603.9492, nan, nan
3604.0581, nan, nan
3604.1650, nan, nan
3604.2737, nan, nan
3604.3826, nan, nan
3604.4915, nan, nan
3604.6003, nan, nan
3604.7090, nan, nan
3604.8179, nan, nan
3604.9268, nan, nan
3605.0356, nan, nan
3605.1445, nan, nan
3605.2534, nan, nan
3605.3623, nan, nan
3605.4709, nan, nan
3605.5798, nan, nan
3605.6887, nan, nan
3605.7976, nan, nan
3605.9065, nan, nan
3606.0134, nan, nan
3606.1223, nan, nan
3606.2312, nan, nan
3606.3401, nan, nan
3606.4490, nan, nan
3606.5579, nan, nan
3606.6667, nan, nan
3606.7756, nan, nan
3606.8845, nan, nan
3606.9934, nan, nan
3607.1023, nan, nan
3607.2112, nan, nan
3607.3184, nan, nan
3607.4272, nan, nan
3607.5361, nan, nan
3607.6450, nan, nan
3607.7539, nan, nan
3607.8628, nan, nan
3607.9719, nan, nan
3608.0808, nan, nan
3608.1897, nan, nan
3608.2986, nan, nan
3608.4055, nan, nan
3608.5146, nan, nan
3608.6235, nan, nan
3608.7324, nan, nan
3608.8416, nan, nan
3608.9504, nan, nan
3609.0593, nan, nan
3609.1685, nan, nan
3609.2773, nan, nan
3609.3843, nan, nan
3609.4934, nan, nan
3609.6023, nan, nan
3609.7112, nan, nan
3609.8203, nan, nan
3609.9292, nan, nan
3610.0383, nan, nan
3610.1453, nan, nan
3610.2544, nan, nan
3610.3633, nan, nan
3610.4724, nan, nan
3610.5813, nan, nan
3610.6904, nan, nan
3610.7993, nan, nan
3610.9065, nan, nan
3611.0154, nan, nan
3611.1245, nan, nan
3611.2334, nan, nan
3611.3425, nan, nan
3611.4517, nan, nan
3611.5605, nan, nan
3611.6677, nan, nan
3611.7769, nan, nan
3611.8857, nan, nan
3611.9949, nan, nan
3612.1040, nan, nan
3612.2129, nan, nan
3612.3201, nan, nan
3612.4292, nan, nan
3612.5383, nan, nan
3612.6472, nan, nan
3612.7563, nan, nan
3612.8655, nan, nan
3612.9727, nan, nan
3613.0818, nan, nan
3613.1907, nan, nan
3613.2998, nan, nan
3613.4089, nan, nan
3613.5161, nan, nan
3613.6252, nan, nan
3613.7344, nan, nan
3613.8435, nan, nan
3613.9526, nan, nan
3614.0596, nan, nan
3614.1687, nan, nan
3614.2778, nan, nan
3614.3870, nan, nan
3614.4961, nan, nan
3614.6033, nan, nan
3614.7124, nan, nan
3614.8215, nan, nan
3614.9307, nan, nan
3615.0400, nan, nan
3615.1470, nan, nan
3615.2563, nan, nan
3615.3655, nan, nan
3615.4746, nan, nan
3615.5837, nan, nan
3615.6909, nan, nan
3615.8000, nan, nan
3615.9092, nan, nan
3616.0186, nan, nan
3616.1257, nan, nan
3616.2349, nan, nan
3616.3440, nan, nan
3616.4531, nan, nan
3616.5625, nan, nan
3616.6697, nan, nan
3616.7788, nan, nan
3616.8879, nan, nan
3616.9973, nan, nan
3617.1045, nan, nan
3617.2136, nan, nan
3617.3230, nan, nan
3617.4321, nan, nan
3617.5393, nan, nan
3617.6487, nan, nan
3617.7578, nan, nan
3617.8672, nan, nan
3617.9744, nan, nan
3618.0835, nan, nan
3618.1929, nan, nan
3618.3020, nan, nan
3618.4094, nan, nan
3618.5186, nan, nan
3618.6279, nan, nan
3618.7351, nan, nan
3618.8445, nan, nan
3618.9536, nan, nan
3619.0630, nan, nan
3619.1702, nan, nan
3619.2795, nan, nan
3619.3887, nan, nan
3619.4980, nan, nan
3619.6055, nan, nan
3619.7146, nan, nan
3619.8240, nan, nan
3619.9312, nan, nan
3620.0405, nan, nan
3620.1499, nan, nan
3620.2593, nan, nan
3620.3665, nan, nan
3620.4758, nan, nan
3620.5852, nan, nan
3620.6924, nan, nan
3620.8018, nan, nan
3620.9111, nan, nan
3621.0205, nan, nan
3621.1277, nan, nan
3621.2371, nan, nan
3621.3464, nan, nan
3621.4539, nan, nan
3621.5632, nan, nan
3621.6726, nan, nan
3621.7798, nan, nan
3621.8892, nan, nan
3621.9985, nan, nan
3622.1060, nan, nan
3622.2153, nan, nan
3622.3247, nan, nan
3622.4321, nan, nan
3622.5415, nan, nan
3622.6509, nan, nan
3622.7583, nan, nan
3622.8677, nan, nan
3622.9771, nan, nan
3623.0845, nan, nan
3623.1938, nan, nan
3623.3032, nan, nan
3623.4106, nan, nan
3623.5200, nan, nan
3623.6294, nan, nan
3623.7368, nan, nan
3623.8462, nan, nan
3623.9558, nan, nan
3624.0632, nan, nan
3624.1726, nan, nan
3624.2820, nan, nan
3624.3894, nan, nan
3624.4988, nan, nan
3624.6084, nan, nan
3624.7158, nan, nan
3624.8252, nan, nan
3624.9346, nan, nan
3625.0422, nan, nan
3625.1516, nan, nan
3625.2610, nan, nan
3625.3684, nan, nan
3625.4780, nan, nan
3625.5854, nan, nan
3625.6948, nan, nan
3625.8044, nan, nan
3625.9119, nan, nan
3626.0215, nan, nan
