# wavelength, Lumniosty[W/AA], Error
3.750593499999999949e+03,8.387422803884238701e+21,4.722406264501871575e+20
3.751457199999999830e+03,9.077196634417154490e+21,4.969695671857858478e+20
3.752321100000000115e+03,1.219295715657170236e+22,5.474760739426058240e+20
3.753185199999999895e+03,1.419762013342693694e+22,5.816341578347905679e+20
3.754049500000000080e+03,1.538739946289999590e+22,6.067626724154810040e+20
3.754914000000000215e+03,1.707443508160240183e+22,6.285227698956620268e+20
3.755778699999999844e+03,1.866742281434207093e+22,6.491214176170710139e+20
3.756643599999999878e+03,1.777749077128317501e+22,6.364024598979792077e+20
3.757508699999999862e+03,1.725351969511075480e+22,6.104020381908896317e+20
3.758373999999999796e+03,1.310181225444833598e+22,5.501848187540676280e+20
3.759239500000000135e+03,9.838903091968467796e+21,4.960019908281980682e+20
3.760105199999999968e+03,1.054480468525188959e+22,5.025035634641285939e+20
3.760971100000000206e+03,1.202490343783816757e+22,5.317153115055842263e+20
3.761837199999999939e+03,1.424088077761578952e+22,5.591189464552054456e+20
3.762703500000000076e+03,1.359190854926517613e+22,5.555222339469479772e+20
3.763570000000000164e+03,1.292572635024723857e+22,5.396809409682827510e+20
3.764436700000000201e+03,1.281490779749331291e+22,5.411189222546895012e+20
3.765303600000000188e+03,1.300618654761331825e+22,5.424722285342408704e+20
3.766170700000000124e+03,1.435156104050196139e+22,5.588866173803539988e+20
3.767038000000000011e+03,1.361797850194237404e+22,5.498159469057652163e+20
3.767905499999999847e+03,1.290909097109786880e+22,5.368106121557454356e+20
3.768773200000000088e+03,1.448447632508106414e+22,5.585380123165809050e+20
3.769641099999999824e+03,1.635915910403247728e+22,5.821896296705806172e+20
3.770509199999999964e+03,1.623459080009670879e+22,5.860917695148442911e+20
3.771377500000000055e+03,1.648542932655243316e+22,5.848880097524048200e+20
3.772245899999999892e+03,1.636903632925944814e+22,5.874458955605200732e+20
3.773114599999999882e+03,1.763837050165399231e+22,6.021455385956207821e+20
3.773983499999999822e+03,1.868011052247578732e+22,6.107600772499402916e+20
3.774852600000000166e+03,1.879443345152073007e+22,6.056123855008272220e+20
3.775721900000000005e+03,1.878573540598951497e+22,5.995362595428440474e+20
3.776591399999999794e+03,1.822716200910694279e+22,5.923105997116870492e+20
3.777461099999999988e+03,1.821231899383424457e+22,5.907337163577938412e+20
3.778331000000000131e+03,1.823722487786273925e+22,5.884470233020876063e+20
3.779201100000000224e+03,1.912901362142384698e+22,6.042017970411788042e+20
3.780071399999999812e+03,2.020416967256227132e+22,6.145390825157429821e+20
3.780941899999999805e+03,1.967623087516896408e+22,6.128964049936868966e+20
3.781812600000000202e+03,2.013012787836181964e+22,6.188234980231436042e+20
3.782683500000000095e+03,2.075804394684355602e+22,6.190247375969995981e+20
3.783554599999999937e+03,2.063646893320899553e+22,6.184386299063848141e+20
3.784425799999999981e+03,2.004140756571313825e+22,6.105685108160925532e+20
3.785297300000000178e+03,2.001271996786091124e+22,6.093248031006705582e+20
3.786168999999999869e+03,2.040652670284924033e+22,6.122217204250523730e+20
3.787040899999999965e+03,1.713716126752156366e+22,5.635731763551854264e+20
3.787913000000000011e+03,1.523562364552723458e+22,5.379186512467419464e+20
3.788785300000000007e+03,1.423404140371849406e+22,5.166207274927930081e+20
3.789657799999999952e+03,1.379309282489833357e+22,5.141692901665157939e+20
3.790530499999999847e+03,1.446251512024504310e+22,5.186801032203803689e+20
3.791403400000000147e+03,1.541774024098833655e+22,5.328750929009558159e+20
3.792276499999999942e+03,1.508182719271656437e+22,5.268294769645621084e+20
