# wavelength, Lumniosty[W/AA], Error
3.648379399999999805e+03,1.537420248837058986e+21,7.339684406177713357e+19
3.649219599999999900e+03,1.370684298363409007e+21,7.093447218139462042e+19
3.650059999999999945e+03,1.537765800014246576e+21,7.424053144331873485e+19
3.650900500000000193e+03,1.838490464201913926e+21,7.963029449857644954e+19
3.651741300000000138e+03,2.227568481918475305e+21,8.553318141676683264e+19
3.652582199999999830e+03,2.752089603897209913e+21,9.385832039591061094e+19
3.653423299999999927e+03,2.871813334633301410e+21,9.601892405952521830e+19
3.654264700000000175e+03,2.912910214194390368e+21,9.795199556835604890e+19
3.655106200000000172e+03,2.865022904122457194e+21,9.750687876045845299e+19
3.655947900000000118e+03,3.064867212686482997e+21,1.001775772296974008e+20
3.656789800000000014e+03,3.443229657334966387e+21,1.036797110131952353e+20
3.657631899999999860e+03,3.482003793219323167e+21,1.049068489915565343e+20
3.658474200000000110e+03,3.575066017959071711e+21,1.059574332928191693e+20
3.659316699999999855e+03,3.672202676527013822e+21,1.069932123393419346e+20
3.660159400000000005e+03,3.602575726619993833e+21,1.054023068776731443e+20
3.661002300000000105e+03,3.597271058802666897e+21,1.051361580679695237e+20
3.661845400000000154e+03,3.725697168973873283e+21,1.056494260516842045e+20
3.662688599999999951e+03,3.599714521185339310e+21,1.045940640435553239e+20
3.663532099999999900e+03,3.536138280322424373e+21,1.029320404480692224e+20
3.664375700000000052e+03,3.359550684172477530e+21,1.001338816868586947e+20
3.665219599999999900e+03,3.344062164788161544e+21,9.944628600152635802e+19
3.666063599999999951e+03,3.467440474846099669e+21,1.001713670488422482e+20
3.666907900000000154e+03,3.511998348799542559e+21,9.995215824755238502e+19
3.667752300000000105e+03,3.536150740059517616e+21,1.003737931266514452e+20
3.668596900000000005e+03,3.496125079863639409e+21,9.851120974888245658e+19
3.669441800000000057e+03,3.193203364064801063e+21,9.419656283961227674e+19
3.670286799999999857e+03,2.950864281232736780e+21,9.127171138233666765e+19
3.671132000000000062e+03,3.047921583860237206e+21,9.218406995444455834e+19
3.671977400000000216e+03,3.372727296742076711e+21,9.467891409135578317e+19
3.672822999999999865e+03,3.532050175028853998e+21,9.618178529158633882e+19
3.673668799999999919e+03,3.761723479264107954e+21,9.828432688325088051e+19
3.674514799999999923e+03,3.663793881031585563e+21,9.687501375691833344e+19
3.675360999999999876e+03,3.582112720355905241e+21,9.677115760873558835e+19
3.676207399999999780e+03,3.613725058058476323e+21,9.671424884787512934e+19
3.677053899999999885e+03,3.332303312170648601e+21,9.490417747207893811e+19
3.677900700000000143e+03,3.114050846995406914e+21,9.233622699492674765e+19
3.678747699999999895e+03,2.865719641496480121e+21,8.857533404642020557e+19
3.679594799999999850e+03,2.391624669922894807e+21,8.244456824430777139e+19
