# wavelength, Lumniosty[W/AA], Error
3.650900500000000193e+03,4.437007499930495877e+20,1.040395775507987661e+20
3.651741300000000138e+03,4.215617853323837440e+20,1.046543256774514770e+20
3.652582199999999830e+03,2.893191838365746135e+20,1.030517215190940877e+20
3.653423299999999927e+03,4.673890298997107589e+20,1.054911795192196792e+20
3.654264700000000175e+03,3.329824254384199434e+20,1.030402775420182364e+20
3.655106200000000172e+03,3.631773358596256563e+20,1.034218425445476762e+20
3.655947900000000118e+03,4.846772252963451699e+20,1.053099386618720748e+20
3.656789800000000014e+03,4.872015189388244419e+20,1.059827977260273500e+20
3.657631899999999860e+03,4.920179398041667502e+20,1.064097937247321293e+20
3.658474200000000110e+03,5.361161136519699497e+20,1.078108203961093816e+20
3.659316699999999855e+03,4.921620979129792594e+20,1.062521685537630618e+20
3.660159400000000005e+03,6.221395240327512064e+20,1.088323043253252751e+20
3.661002300000000105e+03,6.186861428631169925e+20,1.051470240540411658e+20
3.661845400000000154e+03,4.123910171084775752e+20,1.028091431440551772e+20
3.662688599999999951e+03,6.970398157790428529e+20,1.059124290009257083e+20
3.663532099999999900e+03,6.362100465831867843e+20,1.039054598156789842e+20
3.664375700000000052e+03,6.800246947931675689e+20,1.056564750715926774e+20
3.665219599999999900e+03,6.400341886745340805e+20,1.030044326129872241e+20
3.666063599999999951e+03,4.639346401409948058e+20,9.944207102680924160e+19
3.666907900000000154e+03,4.424371402946880471e+20,9.898305856004728422e+19
3.667752300000000105e+03,7.071931378790219121e+20,1.001715215883035607e+20
3.668596900000000005e+03,5.828988813134525235e+20,9.958996410862146355e+19
3.669441800000000057e+03,4.658020958392091279e+20,9.274796567150893466e+19
3.670286799999999857e+03,5.134022992426640998e+20,9.625076141188748083e+19
3.671132000000000062e+03,5.916814557471646679e+20,9.794119680251214234e+19
3.671977400000000216e+03,5.353248067376448799e+20,9.929658804544929792e+19
3.672822999999999865e+03,4.768745548043017912e+20,1.015824840456509850e+20
3.673668799999999919e+03,7.672131216619202150e+20,1.041894532245258404e+20
3.674514799999999923e+03,6.509835208719256781e+20,1.031055328719862661e+20
3.675360999999999876e+03,3.893043866983406633e+20,9.754342512204922880e+19
3.676207399999999780e+03,4.614864808770038661e+20,9.969207327638804890e+19
3.677053899999999885e+03,6.505931653599094374e+20,1.003245775374682358e+20
3.677900700000000143e+03,4.834977352705580073e+20,9.667446201035279565e+19
3.678747699999999895e+03,4.659165840592981852e+20,9.359748528011313152e+19
3.679594799999999850e+03,4.564390720413019668e+20,9.294339175607053517e+19
3.680442199999999957e+03,3.010539654718664212e+20,8.606157241105430938e+19
3.681289699999999812e+03,1.592982501485824573e+20,8.539963277000450048e+19
3.682137499999999818e+03,3.271300159214586429e+20,8.645001996802129920e+19
3.682985400000000027e+03,3.274469999256580915e+20,8.759856400734035968e+19
3.683833599999999933e+03,2.641898698681721160e+20,8.634802459589921997e+19
3.684681900000000041e+03,3.260971960700325069e+20,8.759105777896323482e+19
3.685530400000000100e+03,4.383933615091059261e+20,8.903761388048787046e+19
3.686379100000000108e+03,3.830265427665862656e+20,8.444866288982594355e+19
3.687228099999999813e+03,2.108405468866979103e+20,8.155078626678941286e+19
3.688077200000000175e+03,3.581360986695180616e+20,7.960276371112838758e+19
3.688926500000000033e+03,2.160509283662875853e+20,7.784144967377366221e+19
3.689775999999999840e+03,1.654752313148549038e+20,7.691088654162203443e+19
3.690625700000000052e+03,3.800799157172725350e+20,8.259085040783191245e+19
3.691475600000000213e+03,4.385846497265212457e+20,8.480445253383226982e+19
3.692325699999999870e+03,4.101248294536963686e+20,8.713948393014191718e+19
3.693175999999999931e+03,6.067372543306899128e+20,8.792506076071110246e+19
3.694026400000000194e+03,4.847219508230910116e+20,8.571171326766912307e+19
3.694877100000000155e+03,3.937073490211622748e+20,8.413967376614503219e+19
3.695728000000000065e+03,5.322207635410398085e+20,8.649161158505170534e+19
3.696579099999999926e+03,4.318819794766463631e+20,8.772107124665614336e+19
3.697430299999999988e+03,6.596918332713398436e+20,8.996415256292999168e+19
3.698281800000000203e+03,5.266571784767725896e+20,9.124925174712213504e+19
3.699133499999999913e+03,5.682850310755208397e+20,9.303312513592709939e+19
3.699985299999999825e+03,6.818263929318853837e+20,9.732502812916581990e+19
3.700837399999999889e+03,5.785119332721832755e+20,9.525472880813406618e+19
3.701689600000000155e+03,6.808280467384407163e+20,9.560433778672312320e+19
3.702542100000000119e+03,6.423986803553159086e+20,9.344017114619709030e+19
3.703394699999999830e+03,5.671501922276877271e+20,9.031603428605652173e+19
3.704247499999999945e+03,3.817464875119710700e+20,8.424317573272304026e+19
3.705100600000000213e+03,2.235863933357166756e+20,7.880896634763439309e+19
3.705953799999999774e+03,2.565398794501971313e+20,7.605399287492467098e+19
3.706807200000000194e+03,2.151888499353297879e+20,7.393811801164084019e+19
3.707660800000000108e+03,3.437953825225867919e+20,7.603478292836281549e+19
3.708514700000000175e+03,2.902662119689049539e+20,7.512909696704181043e+19
3.709368699999999990e+03,2.207853516421810422e+20,7.395931137824071680e+19
3.710222900000000209e+03,2.382977636464914268e+20,7.581888740431201894e+19
3.711077299999999923e+03,2.437326478216985969e+20,7.773516280568987648e+19
3.711931900000000041e+03,4.853827776312383242e+20,8.398375950808794726e+19
3.712786700000000110e+03,4.705471601694759322e+20,8.495392102648933581e+19
3.713641700000000128e+03,5.471397200219935212e+20,8.642455819041454490e+19
3.714496900000000096e+03,5.625829314866300846e+20,8.646033553023021875e+19
3.715352300000000014e+03,4.431960506140965601e+20,8.624205413844602061e+19
3.716207899999999881e+03,5.320892402171579597e+20,8.476984175185677517e+19
3.717063700000000154e+03,3.830252518943917998e+20,8.116338396353013350e+19
3.717919699999999921e+03,2.350007544810610360e+20,7.732013397169389568e+19
3.718775799999999890e+03,2.992799337351824015e+20,7.617638073260561203e+19
3.719632200000000012e+03,3.010774172779771331e+20,7.127896994762008986e+19
3.720488800000000083e+03,1.068476382458133053e+20,6.547367281417430630e+19
3.721345600000000104e+03,2.049407318148575068e+20,6.259450780384385434e+19
3.722202499999999873e+03,1.632858488757664481e+20,6.172583197716942848e+19
3.723059699999999793e+03,2.495361558129191813e+20,6.633598201500771942e+19
3.723917100000000119e+03,2.517703568642814116e+20,6.774118865320605286e+19
3.724774600000000191e+03,2.074936301917436641e+20,7.054823073052527002e+19
3.725632399999999961e+03,3.301657313265796383e+20,7.344611446368138854e+19
3.726490299999999934e+03,3.640653203900731884e+20,7.424307735350874931e+19
3.727348500000000058e+03,3.850217134244356424e+20,7.230056118981092966e+19
3.728206799999999930e+03,2.488434187449044173e+20,6.809850759888104653e+19
3.729065399999999954e+03,2.054607123007282217e+20,6.612225564614661734e+19
3.729924100000000180e+03,2.977280108729289933e+20,6.913158093485065830e+19
3.730783100000000104e+03,2.847774704458160538e+20,6.956420977676242125e+19
3.731642199999999775e+03,3.643968443705562235e+20,7.047278238519223910e+19
3.732501600000000053e+03,3.529170663985783767e+20,6.929987453990642483e+19
3.733361100000000079e+03,2.606943799248350085e+20,6.662416083994660864e+19
3.734220899999999801e+03,1.456774380969267364e+20,6.051422991607165747e+19
3.735080800000000181e+03,8.750421966775123968e+19,5.635463736152642355e+19
3.735940900000000056e+03,1.294676875375624847e+20,5.475548384611758899e+19
3.736801300000000083e+03,8.569230582316484198e+19,5.476427652174066483e+19
3.737661799999999857e+03,1.288072036640661340e+20,5.700649138453351629e+19
3.738522500000000036e+03,1.541073713746540298e+20,5.979931900904702771e+19
3.739383400000000165e+03,1.890633337036260966e+20,6.466836548506900890e+19
3.740244599999999991e+03,2.567619112397087375e+20,6.768026489497504973e+19
3.741105900000000020e+03,2.071811975170229862e+20,6.881490085592070554e+19
